authors|url
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Liberdade', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2013-11-08_Liberdade.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'História', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2013-11-23_História.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'fase', 'philosophical area': 'psicologia ou psicossomática'}|gs://blog-files-2024/all/pdf2/2013-11-28_Fase.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Estrutura', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2013-12-06_Estrutura.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Possibilidade', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2013-12-07_Possibilidade.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Legumes e Verduras', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2013-12-15_Legumes_e_Verduras.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Poeira Social', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2013-12-16_Poeira_Social.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'O outro e o sorrir', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-01-16_O_outro_e_o_sorrir.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Comunicação Virtual', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-01-27_Comunicação_Virtual.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Cavalidade', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-02-08_Cavalidade.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Consumo', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-03-08_Consumo.pdf
{'authors': [{'author': 'Tzvetan'}, {'author': 'Pondé'}, {'author': 'Safatle'}], 'theme': None, 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-03-12_Tzvetan,_Pondé,_Safatle.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Fala', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-03-18_Falas.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'argumentação', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-04-25_Argumentação.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'decision', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-04-27_decisão.pdf
{'authors': [{'author': 'Leibniz'}, {'author': 'Kant'}, {'author': 'Luis Quissak'}], 'theme': 'Mundos Possíveis', 'philosophical area': 'filosofia de Leibniz'}|gs://blog-files-2024/all/pdf2/2014-05-02_Mundos_Possíveis.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': None, 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-05-10_Alguém.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Olhar-se', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-05-17_Olhar-se.pdf
{'authors': [{'author': 'Luis Quissak'}], 'theme': 'Greve', 'philosophical area': None}|gs://blog-files-2024/all/pdf2/2014-05-29_Greve,_2014.pdf
