summ;url
O documento analisa o conceito de liberdade e questiona se ela realmente existe. A liberdade, segundo o texto, deve ser independente de relações, ou seja, não pode estar condicionada a causas externas. O autor argumenta que a liberdade não pode ser espontânea, pois tudo no mundo é determinado por causas e efeitos, e, portanto, não há liberdade. No entanto, o autor reconhece que as pessoas podem agir e pensar, mas ressalta que essa ação e pensamento não são livres, mas sim determinados.  O autor conclui que a liberdade só pode existir com participação, ou seja, quando se reconhecem as causas e os efeitos da ação.  ; gs://blog-files-2024/all/pdf2/2013-11-08_Liberdade.pdf
O texto aborda a relação do homem com a história. É questionado se o homem cria a história ou se ela o molda. O autor argumenta que, independente da resposta, a história é uma construção que se origina a partir de culturas passadas. Ele critica a desvalorização da Idade Média, argumentando que a mesma molda o homem de hoje.  O autor conclui que a história é uma construção que se dá ao longo do tempo e, por isso, não há como mudá-la em um piscar de olhos. É preciso ter consciência do passado para construir o futuro.  ; gs://blog-files-2024/all/pdf2/2013-11-23_História.pdf
"O documento é uma reflexão sobre a natureza das ""fases"" da vida. O autor argumenta que a fase é um fenômeno psicológico ou psicossomático, um período de tempo específico em que o ser humano se encontra em um estado particular. Essa fase pode ser algo estranho e desconfortável, pois ela chega de forma inesperada e parece contradizer a ordem natural das coisas, como se o passado fosse melhor que o presente. No entanto, o autor nos lembra que, como todas as fases, essa também passará. O documento não contém imagens, tabelas ou gráficos."; gs://blog-files-2024/all/pdf2/2013-11-28_Fase.pdf
"O documento é um pequeno texto que discute a ideia de uma ""estrutura"" que é comum a todos os seres humanos. A estrutura é descrita como sendo racional e capaz de gerar consentimento e acordo entre as pessoas. O texto argumenta que sem essa estrutura, não haveria progresso nem ciência, e que mesmo que ela seja compreendida por todos, a sua existência depende da vontade dos indivíduos. Em outras palavras, o texto sugere que a estrutura, apesar de ser um elemento fundamental para a vida em sociedade, necessita do compromisso e da participação ativa das pessoas para se manter e prosperar.  Não há imagens, tabelas ou gráficos no documento."; gs://blog-files-2024/all/pdf2/2013-12-06_Estrutura.pdf
"O documento trata da ""possibilidade"" como um conceito que reside entre o ""deve ser"" e o ""é"". O autor explica que para entender a possibilidade, é necessário ""conhecer"" o que é e ""pensar"" no que deve ser. No entanto, é preciso ter cuidado para não confundir o que é com o que deve ser e vice-versa.   O autor destaca dois pontos importantes:  1. **Saber de onde partir:** É preciso ter claro se estamos partindo do fato (é) para o valor (deve ser) ou do valor (deve ser) para o fato (é). 2. **Compatbilizar o mundo real com o ideal:** É necessário conciliar a nossa compreensão do mundo ideal com o mundo real em que vivemos.  O documento finaliza afirmando que a possibilidade depende de fatos e de valores. Não há imagens, tabelas ou gráficos no documento.  "; gs://blog-files-2024/all/pdf2/2013-12-07_Possibilidade.pdf
O documento fala sobre o consumo de legumes e verduras, e como este consumo atingiu um padrão estético. Ele argumenta que o caminho para a compra de legumes e verduras é longo e complexo, incluindo uma série de fatores, como a natureza, processos, trabalho duro, logística e luta.   O documento argumenta que nós, como consumidores, nos tornamos exigentes e que esta exigência acaba impactando negativamente a cadeia de valor dos legumes e verduras. Nossa exigência acaba desperdiçando comida. O documento finaliza com um chamado para que a sociedade se conscientize da importância de consumir legumes e verduras, destacando a beleza e a importância destes alimentos para a saúde.; gs://blog-files-2024/all/pdf2/2013-12-15_Legumes_e_Verduras.pdf
"O documento ""Poeira Social"" analisa a camada de ""poeira"" que separa as pessoas e impede uma comunicação verdadeira.  A poeira representa as percepções e sensações gerais, além do psicológico individual, que são moldadas pelo meio social e cultural.  O autor questiona se existe uma essência interna que é obscurecida por essa poeira social, e se há um ""remédio"" para remover essa camada. Ele considera a possibilidade de que a poeira seja necessária, pois somos compostos de carne e espírito. A carne seria a existência social, a poeira, e o espírito, a essência.   O documento não inclui imagens, tabelas ou gráficos."; gs://blog-files-2024/all/pdf2/2013-12-16_Poeira_Social.pdf
O texto discute a necessidade da existência do outro para a nossa própria existência. O autor argumenta que a racionalidade exige e determina que o ser humano seja dependente do outro. Ele usa o sorriso como exemplo para ilustrar esse ponto: o sorriso é uma expressão que vem do outro e é direcionada ao outro, mostrando que a nossa felicidade está intrinsecamente ligada à presença do outro.  O autor afirma que a nossa própria existência depende da existência do outro e que não podemos viver isolados e independentes. O sorriso é um exemplo claro dessa interdependência, pois é uma expressão que começa e termina no outro.  O texto não inclui imagens, tabelas ou gráficos. ; gs://blog-files-2024/all/pdf2/2014-01-16_O_outro_e_o_sorrir.pdf
"O documento aborda a natureza da comunicação virtual e explora a relação entre o real e o artificial neste contexto.   O autor argumenta que tudo o que é feito pela informática e pela computação é invenção do homem e, portanto, artificial. O termo ""virtual"" é frequentemente usado para se referir a objetos dentro de sistemas de computador, que são criações artificiais.  No entanto, o autor questiona se existe algo de real no mundo virtual. Como exemplo, ele usa o caso da comunicação por mídias sociais, onde a interação acontece através de plataformas digitais.  Ele aponta que a comunicação virtual é baseada em bits e bytes, ou seja, é codificada e decodificada, o que a torna artificial.  O autor continua argumentando que, apesar de a linguagem ser codificada em diversos meios como jornal, livros e televisão, a comunicação ainda é possível. A codificação, nesse caso, é uma meta-linguagem que permite a comunicação e torna o processo artificial.  Por fim, o autor propõe que talvez apenas o que se fala no momento em que se fala seja real (natural), dentro do limite da comunicação codificada.  Ele sugere que a comunicação virtual, apesar de artificial, pode conter um elemento de realidade, expresso no momento em que as pessoas se comunicam.   Em resumo, o documento explora a complexa relação entre o real e o artificial na comunicação virtual, questionando se a comunicação codificada pode conter elementos de realidade.  "; gs://blog-files-2024/all/pdf2/2014-01-27_Comunicação_Virtual.pdf
"O texto discute a relação entre a individualidade e a generalização do conceito de ""cavalo"". O autor argumenta que, ao conhecermos apenas um cavalo, não podemos ter uma compreensão completa do conceito de ""cavalo"" (ou ""cavalidade""). A ""cavalidade"" é um conceito abstrato, que engloba todos os cavalos, enquanto um cavalo individual é apenas um exemplo concreto.   O autor sugere que a ""cavalidade"" ideal é um conceito abstrato que nunca pode ser alcançado na realidade, já que cada cavalo é único e possui características específicas que o tornam diferente dos demais.   O texto também aborda o conceito de ""conhecimento"" e a importância de se ter cuidado ao generalizar a partir de um caso individual. O autor argumenta que é importante reconhecer que cada caso é único e que o conhecimento sobre um caso individual não pode ser diretamente aplicado a todos os casos.  O texto é uma reflexão filosófica sobre a relação entre o indivíduo e o geral, e como o conhecimento sobre um caso individual pode ser limitado para a compreensão de um conceito mais abrangente. "; gs://blog-files-2024/all/pdf2/2014-02-08_Cavalidade.pdf
